,Unnamed: 0,Nom,Viet
29316,29316,三日時節制府分兵大破莫敬止等於清河縣新羙社,"Tam nhật thì, Tiết chế phủ phân binh đại phá Mạc Kính Chỉ đẳng ư Thanh Hà huyện, Tân Mĩ xã."
29317,29317,斬得賊馘并收船艘五十隻及馬匹噐,"Trảm đắc tặc quắc tịnh thu thuyền sưu ngũ thập chích, cập mã sất khí.."
29318,29318,械不可勝數,giới bất khả thăng sổ.
29319,29319,下洪,Hạ Hồng.
29320,29320,南策,Nam Sách.
29321,29321,荆門等府廬舍宫室燒毀殆尽,Kinh Môn đẳng phủ lư xá cung thất thiêu huỷ đãi tận.
29322,29322,時莫餘黨浦郡公缺名以下水郡公沔郡公𨻫郡公豪郡公瑞郡公梁郡公義郡公及吏部尚書福郡公杜汪禮部尚書洪溪侯汝琮工部尚書同沆吏部左侍郎永山侯吳暐户部左侍郎吳慥東閣𭓇士吳珙寺卿阮瑾山南承政使譚文節海陽承政使范如膠等並詣軍門降服,"Thời, Mạc dư đảng Phố quận công [khuyết danh dĩ hạ], Thuỷ quận công, Miện quận công, Lũng quận công, Hào quận công, Thuỵ quận công, Lương quận công, Nghĩa quận công, cập Lại bộ Thượng thư Phúc quận công Đỗ Uông, Lễ bộ Thượng thư Hồng Khê hầu Nhữ Tông, Công bộ Thượng thư Đồng Hàng, Lại bộ Tả thị lang Vĩnh Sơn hầu Ngô Vĩ, Hộ bộ Tả thị lang Ngô Tháo, Đông các học sĩ Ngô Cung, Tự khanh Nguyễn Cẩn, Sơn Nam thừa chính sứ Đàm Văn Tiết, Hải Dương thừa chính sứ Phạm Như Dao đẳng tịnh nghệ quân môn hàng phục."
29323,29323,節制鄭松令進兵永頼琤江駐營數日回京,"Tiết chế Trịnh Tùng lệnh tiến binh Vĩnh Lại, Tranh Giang trú dinh sổ nhật hồi Kinh."
29324,29324,節制鄭松命茶郡公范文快廉郡公武郡公等,"Tiết chế Trịnh Tùng mệnh Trà quận công Phạm Văn Khoái, Liêm quận công, Vũ quận công đẳng.."
29325,29325,将步兵三千象二隻攻畧浦頼江,"tương bộ binh tam thiên, tượng nhị chích, công lược Phố Lại giang."
29326,29326,三将分兵攻勦安勇武寧等縣,"Tam tướng phân binh công tiễu Yên Dũng, Vũ Ninh đẳng huyện."
29327,29327,時莫茂洽棄舟步行至鳳眼縣寺隱居凣十一日,"Thời, Mạc Mậu Hợp khí chu bộ hành, chí Phượng Nhãn huyện tự, ẩn cư phàm thập nhất nhật."
29328,29328,官軍至鳳眼有村人向導引官軍入寺中󰱐莫茂洽将就駐營,"Quan quân chí Phượng Nhãn, hữu thôn nhân hướng đạo dẫn quan quân nhập tự trung, hoạch Mạc Mậu Hiệp tương tựu trú dinh."
29329,29329,武郡公令人以象載之及二妓女還至京師献俘生梟三日斬于菩提傳首詣清華萬頼行在釘其两眼置于市,"Vũ quận công lệnh nhân dĩ tượng tải chi cập nhị kĩ nữ hoàn chí kinh sư hiến phu, sinh kiêu tam nhật, trảm vu Bồ Đề, truyền thủ nghệ Thanh Hoa, Vạn Lại hành tại, đính kì lưỡng nhãn trí vu thị."
29330,29330,初莫宗室䧺禮公莫敬止竄居東潮,"Sơ, Mạc tông thất Hùng Lễ công Mạc Kính Chỉ thoán cư Đông Triều."
29331,29331,至是復收殘卒㨿青林僣位于至灵南澗稱號寶定又改,"Chí thị, phục thu tàn tốt cứ Thanh Lâm, tiếm vị vu Chí Linh, Nam Gián xưng hiệu Bảo Định, hựu cải.."
29332,29332,康佑,Khang Hựu.
29333,29333,於是莫氏宗室莫敬敷莫敬誠莫敬慎等及男女大小數百人皆應之,"Ư thị, Mạc thị tông thất Mạc Kính Phu, Mạc Kính Thành, Mạc Kính Thận đẳng cập nam nữ đại tiểu sổ bách nhân giai ứng chi."
29334,29334,莫之宿舊文臣武士相率㱕之,Mạc chi túc cựu văn thần vũ sĩ tương suất quy chi.
29335,29335,草立行在出榜招募丁民,"Thảo lập hành tại, xuất bảng chiêu mộ đinh dân."
29336,29336,呼吸之間諸縣響應兵至七萬人,"Hô hấp chi gian, chư huyện hưởng ứng, binh chí thất vạn nhân."
29337,29337,先是莫茂洽使其長子全權監國事僣號武安,"Tiên thị, Mạc Mậu Hợp sử kì trưởng tử Toàn quyền giám quốc sự, tiếm hiệu Vũ An."
29338,29338,至茂洽被俘人心不服復㱕附莫敬止,"Chí Mậu Hợp bị phu, nhân tâm bất phục, phục quy phụ Mạc Kính Chỉ."
29339,29339,莫全自遁又為官兵所󰱐,"Mạc Toàn tự độn, hựu vi quan binh sở hoạch."
29340,29340,時莫敬止㨿青林分置内外左右割㨿諸縣以拒官兵,"Thời, Mạc Kính Chỉ cứ Thanh Lâm, phân trí nội ngoại tả hữu, cát cứ chư huyện dĩ cự quan binh."
29341,29341,節制鄭松命阮七里裴文奎陳百年阮峩等将兵猝至,"Tiết chế Trịnh Tùng mệnh Nguyễn Thất Lí, Bùi Văn Khuê, Trần Bách Niên, Nguyễn Nga đẳng tương binh thốt chí."
29342,29342,敬止率軍襲戦於江中,Kính Chỉ suất quân tập chiến ư giang trung.
29343,29343,七里不及戦死,"Thất Lí bất cập chiến, tử.."
29344,29344,于陣中,vu trận trung.
29345,29345,䏓峩中創倒在舟上士卒急救得免,"Nguyễn Nga trúng thương đảo tại chu thượng, sĩ tốt cấp cứu đắc miễn."
29346,29346,文奎百年等各自奔潰,"Văn Khuê, Bách Niên đẳng các tự bôn hội."
29347,29347,軍粮噐械皆没于賊,Quân lương khí giới giai một vu tặc.
29348,29348,於是海陽京北復㱕附之,"Ư thị, Hải Dương, Kinh Bắc phục quy phụ chi."
29349,29349,十七日節制鄭松命太尉黄廷爱太保鄭杜鄭桐鄭檸等督諸營步兵象馬進討莫敬止駐兵于錦江沿河列屯𭁈之相拒,"Thập thất nhật, Tiết chế Trịnh Tùng mệnh Thái uý Hoàng Đình Ái, Thái bảo Trịnh Đỗ, Trịnh Đồng, Trịnh Ninh đẳng đốc chư dinh bộ binh tượng mã tiến thảo Mạc Kính Chỉ, trú binh vu Cẩm Giàng, duyên hà liệt đồn dữ chi tương cự."
29350,29350,又分命太尉阮有僚總督水軍進至青林𭁈廷爱相為表裏救援官軍在錦江,"Hựu phân mệnh Thái uý Nguyễn Hữu Liêu tổng đốc thuỷ quân tiến chí Thanh Lâm, dữ Đình Ái tương vi biểu lí cứu viện quan quân tại Cẩm Giàng."
29351,29351,莫敬止悉眾㨿青林以長江一󰅾分南北連兵拒戦,"Mạc Kính Chỉ tất chúng cứ Thanh Lâm, dĩ trường giang nhất đái phân Nam Bắc, liên binh cự chiến."
29352,29352,日張旌旗夜鳴火砲旬月之間两軍相持不得解甲,"Nhật trương tinh kì, dạ minh hoả pháo, tuần nguyệt chi gian lưỡng quân tương trì, bất đắc giải giáp."
29353,29353,敬,Kính..
29354,29354,止催兵增築壕壘于青林沿江以守之,Chỉ thôi binh tăng trúc hào luỹ vu Thanh Lâm duyên giang dĩ thủ chi.
29355,29355,二十五日節制鄭松令諸營奇大移草津行營于昇龍城之南福林坊居之,"Nhị thập ngũ nhật, Tiết chế Trịnh Tùng lệnh chư dinh cơ đại di Thảo Tân hành dinh vu Thăng Long thành chi Nam, Phúc Lâm phường cư chi."
29356,29356,右本紀附莫僣起自丁亥莫登庸僣位紀元明德元年傳五世至壬辰洪寕三年莫茂洽被俘,"Hữu bản kỷ phụ Mạc tiếm, khởi tự Đinh Hợi, Mạc Đăng Dung tiếm vị, kỷ nguyên Minh Đức nguyên niên; truyền ngũ thế, chí Nhâm Thìn, Hồng Ninh tam niên, Mạc Mậu Hợp bị phu."
29357,29357,又繼以癸巳䧺禮公自稱康佑初年迄于其亡前後共六十七年,"Hựu kế dĩ Quý Tị, Hùng Lễ Công tự xưng Khang Hựu sơ niên, hất vu kì vong, tiền hậu cộng lục thập thất niên."
29358,29358,讖云莫得於亥失於亥,"Sấm vân: ""Mạc đắc ư Hợi, thất ư Hợi""."
29359,29359,盖登庸丁亥年簒位至茂洽以癸亥命亡國果有驗云,"Cái Đăng Dung Đinh Hợi niên soán vị, chí Mậu Hợp dĩ Quý Hợi mệnh vong quốc, quả hữu nghiệm vân."
29360,29360,癸巳十六年是歳莫氏亡正月明萬曆二十一年,"Quý Tị, thập lục niên [Thị tuế Mạc thị vong. Chính nguyệt, Minh Vạn Lịch nhị thập nhất niên]."
29361,29361,九日節制鄭松督,"cửu nhật, Tiết chế Trịnh Tùng đốc.."
29362,29362,大軍東渡珥河日夜兼行直指青林進𭛁,"đại quân đông độ Nhĩ Hà, nhật dạ kiêm hành, trực chỉ Thanh Lâm tiến phát."
29363,29363,十二日駐營錦江𭁈諸将大會議分兵水陸並進渡江急戦,"Thập nhị nhật, trú dinh Cẩm Giàng, dữ chư tướng đại hội nghị phân binh thuỷ lục tịnh tiến, độ giang cấp chiến."
29364,29364,遣慎義營副都将右相太尉榮郡公黄廷爱壮義營副都将太尉陽郡公阮有僚統領水步諸營奇将士進至青林地方,"Khiển Thận Nghĩa dinh phó đô tướng, hữu tướng, Thái uý Vinh quận công Hoàng Đình Ái, Tráng Nghĩa dinh phó đô tướng, Thái uý Dương quận công Nguyễn Hữu Liêu thống lĩnh thuỷ bộ chư dinh cơ tướng sĩ, tiến chí Thanh Lâm địa phương."
29365,29365,是時莫敬止兵不下六七萬人悉眾㨿青林󰘌岸依川阻水以為固屯營結寨列皷張旗,"Thị thời, Mạc Kính Chỉ binh bất hạ lục thất vạn nhân, tất chúng cứ Thanh Lâm, cách ngạn ỷ xuyên trở thuỷ dĩ vi cố, đồn dinh kết trại, liệt cổ trương kì."
29366,29366,然烏合之󰕛未經訓練,"Nhiên ô hợp chi chúng, vị kinh huấn luyện."
29367,29367,節制鄭松傳𭛁砲號即催兵渡河以擊上流,"Tiết chế Trịnh Tùng truyền phát pháo hiệu, tức thôi binh độ hà dĩ kích thượng lưu."
29368,29368,黄廷爱渡下流以擊其背,Hoàng Đình Ái độ hạ lưu dĩ kích kì bội.
29369,29369,阮有僚大率水軍圍,Nguyễn Hữu Liêu đại suất thuỷ quân vi..
29370,29370,繞四傍邀截去處,"nhiễu tứ bàng, yêu tiệt khứ xứ."
29371,29371,是日四方八靣砲號俱𭛁三軍𧡟力致戦席卷長驅,"Thị nhật, tứ phương bát diện pháo hiệu câu phát, tam quân khoan lực trí chiến, tịch quyển trường khu."
29372,29372,敬止及其宗親男女皆竄身入山林,Kính Chỉ cập kì tông thân nam nữ giai thoán thân nhập sơn lâm.
29373,29373,官軍追至東潮至灵等縣哨拿󰱐其安山王莫敬誠宏量公莫履祐郡公陳越裴指賛理阮仁沾等軰尽斬之,"Quan quân truy chí Đông Triều, Chí Linh đẳng huyện, sáo nã hoạch kì An Sơn Vương Mạc Kính Thành, Hoành Lượng công Mạc Lí Hựu, Quận công Trần Việt, Bùi Chỉ, Tán lí Nguyễn Nhân Triêm đẳng bối, tận trảm chi."
29374,29374,其餘斬得賊馘收得賊船噐械不可勝數,"Kì dư trảm đắc tặc quắc, thu đắc tặc thuyền khí giới bất khả thăng sổ."
29375,29375,十三日進到至灵,"Thập tam nhật, tiến đáo Chí Linh."
29376,29376,節制府再分兵追哨,Tiết chế phủ tái phân binh truy sáo.
29377,29377,十四日擒得敬止於安廣處横浦縣新萌村一説東潮雷隂山寺及莫敬敷莫敬慎莫敬簡莫敬遵扶寕王缺名以下宏禮公䧺亮公并武安莫,"Thập tứ nhật, cầm đắc Kính Chỉ ư Yên Quảng xứ, Hoành Bồ huyện, Tân Manh thôn [Nhất thuyết Đông Triều Lôi Âm sơn tự], cập Mạc Kính Phu, Mạc Kính Thận, Mạc Kính Giản, Mạc Kính Tuân, Phù Ninh Vương [khuyết danh dĩ hạ], Hoành Lễ công, Hùng Lượng công, tịnh Vũ An Mạc.."
29378,29378,全臯郡公脩武侯等及所󰱐金銀寶物銅印两顆,"Toàn, Cao quận công, Tu Vũ hầu đẳng, cập sở hoạch kim ngân bảo vật đồng ấn lưỡng khoả."
29379,29379,又哨得尚書枚功阮𠃔欽阮克敬頼敏阮克綏阮澈阮明璧阮澧都御史鄭光賛左侍郎王文會華有謨王拨萃阮顯績阮汝楫范珙右侍郎范知止鄧諧阮演潘範黎曰倘承政使段世拔阮風欔杜顯寺卿吳盎東閣杜直潘宗參政陳慶圭府尹阮諍都給事中黄琦阮俊彦阮恒監察御史黎世禄范田俊武森范徔命杜演黎金榜黄務本阮仁馥給事中鄭克慎王時中阮,"Hựu sáo đắc Thượng thư Mai Công, Nguyễn Doãn Khâm, Nguyễn Khắc Kính, Lại Mẫn, Nguyễn Khắc Tuy, Nguyễn Triệt, Nguyễn Minh Bích, Nguyễn Lễ; Đô ngự sử Trịnh Quang Tán; Tả thị lang Vương Văn Hội, Hoa Hữu Mô, Vương Bạt Tuỵ, Nguyễn Hiển Tích, Nguyễn Nhữ Tiếp, Phạm Cung; Hữu thị lang Phạm Tri Chỉ, Đặng Hài, Nguyễn Diễn, Phan Phạm, Lê Viết Thảng; Thừa chính sứ Đoàn Thế Bạt, Nguyễn Phong Quắc, Đỗ Hiển; Tự khanh Ngô Áng; Đông các Đỗ Trực, Phan Tông; Tham chính Trần Khánh Khuê; Phủ doãn Nguyễn Tránh; Đô cấp sự trung Hoàng Kì, Nguyễn Tuấn Ngạn, Nguyễn Hằng; Giám sát ngự sử Lê Thế Lộc, Phạm Điền Tuấn, Vũ Sâm, Phạm Tòng Mệnh, Đỗ Diễn, Lê Kim Bảng, Hoàng Vụ Bản, Nguyễn Nhân Phức; Cấp sự trung Trịnh Khắc Thận, Vương Thì Trung, Nguyễn.."
29380,29380,挺尹覃陳文藻翰林阮用黄挺范有䏻憲察使范自謙副使阮儒陳丕眼參議黎鴻阮湧斷事阮碩德阮繁並詣軍門解納,"Đĩnh, Doãn Đàm, Trần Văn Tảo; Hàn lâm Nguyễn Dụng, Hoàng Đĩnh, Phạm Hữu Năng; Hiến sát sứ Phạm Tự Khiêm; Phó sứ Nguyễn Nho, Trần Phi Nhãn; Tham nghị Lê Hồng, Nguyễn Dũng; Đoán sự Nguyễn Thạc Đức, Nguyễn Tấn, tịnh nghệ quân môn giải nộp."
29381,29381,節制府乃收兵回京,Tiết chế phủ nãi thu binh hồi kinh.
29382,29382,二十七日諸将送俘莫氏宗派解納營門,"Nhị thập thất nhật, chư tướng tống phu Mạc thị tông phái giải nộp dinh môn."
29383,29383,節制鄭松令推出俱斬之于草津使人傳莫敬止首詣清華萬頼行在獻于闕下,"Tiết chế Trịnh Tùng lệnh thôi xuất câu trảm chi vu Thảo Tân, sử nhân truyền Mạc Kính Chỉ thủ nghệ Thanh Hoa Vạn Lại hành tại, hiến vu khuyết hạ."
29384,29384,二月節制鄭松命左右将校茶郡公阮廷倫廉郡公劉盞等各領精兵攻畧陸岸安搏等縣,"Nhị nguyệt, Tiết chế Trịnh Tùng mệnh tả hữu tướng hiệu Trà quận công Nguyễn Đình Luân, Liêm quận công Lưu Trản đẳng các lĩnh tinh binh công lược Lục Ngạn, An Bác đẳng huyện."
29385,29385,時㓂黨渠魁秀梮秀㻡兄弟等率其部黨千餘人投,"Thời, khấu đảng cừ khôi Tú Cục, Tú Tiết huynh đệ đẳng suất kì bộ đảng thiên dư nhân đầu.."
29386,29386,降後又内萌異圖,"hàng, hậu hựu nội manh dị đồ."
29387,29387,廷倫劉盞等擒得併殺之,"Đình Luân, Lưu Trản đẳng cầm đắc tinh sát chi."
29388,29388,餘黨驚潰迯入山林,Dư đảng kinh hội đào nhập sơn lâm.
29389,29389,初莫應王莫󰦛讓遁走至安搏驚慄病𭛁而死土人塟之于寺側,"Sơ, Mạc Ứng Vương Mạc Đôn Nhượng độn tẩu chí An Bác, kinh lật bệnh phát nhi tử, thổ nhân táng chi vu tự trắc."
29390,29390,三月莫玉󱗲迯竄北方隂求莫氏宗室得莫敬典之子󰦛厚王莫敬恭於文蘭州立為莫後自號乾統初年,"Tam nguyệt, Mạc Ngọc Liễn đào thoán Bắc phương, âm cầu Mạc thị tông thất, đắc Mạc Kính Điển chi tử Đôn Hậu Vương Mạc Kính Cung ư Văn Lan châu, lập vi Mạc hậu, tự hiệu Càn Thống sơ niên."
29391,29391,時人人猶𢙇二心未尽㱕附聞敬恭立相率㱕附,"Thời, nhân nhân do hoài nhị tâm, vị tận quy phụ, văn Kính Cung lập tương suất quy phụ."
29392,29392,時有莫氏餘黨數十人煽惑人心聚集成黨刼掠州縣分㨿各處,"Thời, hữu Mạc thị dư đảng sổ thập nhân phiến hoặc nhân tâm, tụ tập thành đảng, kiếp lược châu huyện, phân cứ các xứ."
29393,29393,珥河以北干戈迭起煙火不息群䧺竄伏,"Nhĩ Hà dĩ bắc, can qua điệt khởi, yên hoả bất tức, quần hùng thoán phục,.."
29394,29394,㓂刼憑陵,khấu kiếp bằng lăng.
29395,29395,大者結成三十黨小者亦不下數十餘群,"Đại giả, kết thành tam thập đảng, tiểu giả, diệc bất hạ sổ thập dư quần."
29396,29396,真定都寕缺姓以下名自稱建國公㨿建昌乙技自稱強國公㨿錦江太國公㨿嘉福華國公㨿快州嚴國公㨿四岐慶國公㨿山陽德國公㨿夏華羙壽侯㨿青波威王莫敬用㨿太原壮王莫敬章㨿天施義國公㨿新興文國公㨿三陽錦國公㨿青池忠國公㨿普安福國公㨿右𨻫,"Chân Định, Đô Ninh [khuyết tính dĩ hạ], danh tự xưng Kiến quốc công, cứ Kiến Xương; Ất Kĩ tự xưng Cường quốc công, cứ Cẩm Giàng; Thái quốc công cứ Gia Phúc; Hoa quốc công cứ Khoái châu; Nghiêm quốc công cứ Tứ Kì; Khánh quốc công cứ Sơn Dương; Đức quốc công cứ Hạ Hoa; Mĩ Thọ hầu cứ Thanh Ba; Uy Vương Mạc Kính Dụng cứ Thái Nguyên; Tráng Vương Mạc Kính Chương cứ Thiên Thi; Nghĩa quốc công cứ Tân Hưng; Văn quốc công cứ Tam Dương; Cẩm quốc công cứ Thanh Trì; Trung quốc công cứ Phổ Yên; Phúc quốc công cứ Hữu Lũng."
